0,1,2,3,4,5,6,7,8,9,10,11,uuid
0.4802546,0.44711688,0.4305526,0.45993605,0.49360633,0.5580967,0.5945713,0.5317946,0.5078695,0.4938625,0.48251355,0.49285397,acdee0e6-c467-457d-a669-8d37489fea6e
0.53257847,0.5397845,0.52536654,0.5566557,0.5367367,0.5265061,0.5388224,0.54219747,0.550138,0.53990227,0.5269291,0.520807,41201fb5-138a-4fce-9119-7432efd5baee
0.7636675,0.7970969,0.79981494,0.78895444,0.7638603,0.7670124,0.761671,0.7959018,0.83210766,0.78038186,0.7167487,0.719814,d4d26717-efb6-46d2-84a9-d3b442743b38
0.6773863,0.7090045,0.65494186,0.60827833,0.6145241,0.62118983,0.7267164,0.77492976,0.7029445,0.6591126,0.66990525,0.69268745,49b57e0d-2087-48b8-81a4-c7f1d62ff608
0.56594944,0.55903494,0.5679833,0.5776894,0.6012523,0.5916189,0.5813235,0.589735,0.6114101,0.635095,0.6473108,0.61627036,1672163f-46da-4fc1-a752-0be874dfd06f
0.3911164,0.39079785,0.4020212,0.43688682,0.46157345,0.47826013,0.4948458,0.49600622,0.47566617,0.4460244,0.4093974,0.39875263,b237116b-fc80-41c8-82dd-b4b44c6e9080
0.68867695,0.70368063,0.68029076,0.6850518,0.7624417,0.72737086,0.7795077,0.765573,0.7108142,0.6745618,0.67804605,0.6546954,ce424814-cde4-4261-a372-3420cab2a20f
0.6155147,0.61758375,0.62622935,0.6651594,0.67993486,0.6015331,0.59799,0.6470718,0.67592746,0.63103473,0.61292315,0.5873644,44f3f21d-61ec-47ae-b913-9596b8b1e657
0.59685385,0.622411,0.64290947,0.6631235,0.6215652,0.6594624,0.68355286,0.6844874,0.64969355,0.57929456,0.5567654,0.5741806,7a314589-c3cb-4213-b3e0-d8889d82d165
0.6431758,0.60162294,0.5682498,0.5695695,0.55824876,0.60374135,0.6496481,0.6564482,0.6754636,0.68287075,0.6336734,0.62316054,bd1076f4-82ca-4836-940e-b394be933b44
0.2555235,0.26250148,0.22142862,0.19289815,0.23399127,0.27353865,0.27690342,0.2649508,0.2528924,0.24856953,0.24597403,0.25150856,92930521-bff3-4bcd-ac46-5ee80937af6f
0.3752228,0.44172493,0.5959769,0.46276718,0.52278316,0.5580095,0.74022007,0.5988141,0.497044,0.6018028,0.3983913,0.3537904,2dcc61fa-f6af-46ee-b67b-2194c6dfd1fb
0.630465,0.6937077,0.6665798,0.62202233,0.58784556,0.61961555,0.65207857,0.6900096,0.685003,0.6642243,0.60348684,0.5931222,17e06f57-58d3-4578-98b1-8db2ea3dd7ba
0.6811291,0.5633704,0.59799504,0.6397243,0.6044235,0.44243035,0.38708434,0.4677488,0.43465382,0.4897465,0.50584126,0.6556276,4d996e78-1dda-407f-bfe9-3be9f54207cb
0.3610851,0.3092938,0.28444484,0.30245128,0.3124953,0.3514884,0.37618512,0.36100757,0.33553806,0.33415344,0.3564547,0.38366506,62aa2782-e47c-4662-8def-e8730efdba7e
