0,1,2,3,4,5,6,7,8,9,10,11,label
0.602567,0.6286135,0.6304532,0.6347724,0.5865494,0.46722075,0.45389667,0.47893265,0.5063455,0.55022746,0.55404323,0.5471997,0
0.83084464,0.8375287,0.8236647,0.84494597,0.88511294,0.85737026,0.762331,0.71336025,0.7079771,0.7591701,0.8044798,0.8145331,0
0.425376,0.45831928,0.45549026,0.44770503,0.44970492,0.466175,0.48318002,0.47161648,0.44503888,0.4185817,0.40169716,0.40722665,0
0.45639342,0.4533291,0.5142821,0.5779239,0.59158367,0.5315809,0.4833784,0.45056245,0.44942078,0.41546178,0.425656,0.46644548,0
0.7067645,0.7895886,0.7857866,0.7418991,0.69171053,0.6837497,0.71037453,0.7703874,0.8078321,0.81402105,0.7942632,0.72800386,0
0.74482,0.70600194,0.6646469,0.66103673,0.6368491,0.5922124,0.6523446,0.64977026,0.6339924,0.7773394,0.8315209,0.75734645,0
0.77065223,0.77716386,0.80985296,0.7600581,0.7427233,0.6965129,0.6385218,0.6534341,0.639575,0.63942313,0.7385254,0.8181675,0
0.7450988,0.771676,0.8027147,0.8376507,0.8609981,0.8744052,0.8852797,0.8748127,0.8278321,0.76693875,0.71372837,0.7095406,0
0.57131785,0.64794344,0.6916942,0.7007465,0.73002625,0.75385284,0.7674172,0.7730046,0.7372974,0.6399717,0.5631,0.54547316,0
0.67350054,0.6603405,0.62795126,0.66569716,0.64808196,0.68460053,0.7008699,0.63365704,0.5636415,0.6043006,0.64335525,0.6532773,1
0.35194063,0.3246364,0.3084318,0.30918887,0.31847665,0.33364627,0.35579553,0.35731,0.368086,0.38904202,0.40223733,0.38447013,0
0.6267188,0.5987133,0.563338,0.5522224,0.58661,0.6247384,0.69200945,0.7858542,0.86542434,0.83166224,0.7602101,0.68445385,0
0.6672687,0.6358955,0.65338856,0.69385105,0.6993867,0.6938381,0.71674955,0.7866581,0.85384536,0.835343,0.7527836,0.7193004,1
0.6170555,0.70649356,0.68681055,0.65487134,0.6607677,0.6900566,0.66825885,0.69273484,0.6982624,0.6184858,0.52805096,0.5243483,0
0.61216843,0.5963757,0.54218715,0.44126987,0.5227855,0.6362465,0.6483734,0.61141276,0.60585874,0.6626213,0.71492565,0.68734974,0
0.879645,0.88718593,0.85765725,0.863662,0.87344265,0.8053522,0.7220288,0.7393678,0.75374275,0.7663727,0.79500973,0.8403549,0
0.5878844,0.46254033,0.44743294,0.4315617,0.40320727,0.43826446,0.50665903,0.5502851,0.519592,0.5603101,0.63385695,0.6660012,0
0.6981211,0.6777208,0.66562575,0.678395,0.62092453,0.56429356,0.5706211,0.60582936,0.6384817,0.7211305,0.7756012,0.75717986,0
0.68133533,0.6885551,0.7079213,0.76529044,0.7681396,0.71576256,0.6736777,0.65499717,0.6978916,0.72952425,0.69383276,0.7205934,1
0.7454682,0.7759425,0.7873071,0.78979343,0.7692212,0.73537827,0.7555776,0.7754813,0.7546019,0.74053264,0.74250394,0.7421791,1
0.685736,0.7154092,0.6768965,0.6569996,0.6567148,0.6467721,0.6560773,0.69760966,0.6882163,0.56549335,0.4941181,0.5630571,0
0.6694348,0.727244,0.7499846,0.7546457,0.76552033,0.7321023,0.69198555,0.6722699,0.665759,0.6539964,0.6568853,0.6519502,0
0.8305182,0.69881034,0.56352913,0.5069298,0.4620369,0.46290407,0.48934308,0.5730349,0.6088284,0.6520881,0.7432091,0.81558156,0
0.7886727,0.635563,0.5211604,0.5001036,0.4876847,0.47592595,0.48731765,0.51919323,0.5167343,0.58116794,0.7081123,0.8442165,0
0.38132218,0.40875947,0.45947766,0.509023,0.5277201,0.50626045,0.50257146,0.5150271,0.5633019,0.559428,0.5086128,0.44718724,0
0.59562963,0.5962277,0.5659934,0.5605225,0.62320715,0.65035325,0.6520168,0.8180168,0.8610921,0.8109058,0.6522903,0.5710062,1
0.61747134,0.59986305,0.7092663,0.83345646,0.7527769,0.6478846,0.63734347,0.6788372,0.67338663,0.6336706,0.5856252,0.5964585,0
0.76387167,0.63661695,0.5827188,0.57080466,0.55891037,0.53658485,0.4931403,0.47987252,0.47505146,0.5721999,0.7174835,0.82442737,0
0.79671973,0.8403665,0.8541247,0.857401,0.8455344,0.73225427,0.6751147,0.66568816,0.67858875,0.72514224,0.72687966,0.73957086,0
0.6758797,0.720438,0.771759,0.7740907,0.756067,0.75494206,0.7181424,0.64134455,0.5977691,0.5954197,0.62079114,0.68877345,1
0.55432236,0.55708647,0.62829727,0.6758791,0.71809566,0.70622134,0.73265153,0.7477028,0.71946657,0.68933487,0.71610385,0.63786703,0
0.708587,0.65128994,0.57422054,0.54627645,0.5643512,0.6771066,0.73252946,0.76009,0.7132681,0.68674296,0.67334116,0.6877262,0
0.68238837,0.7069909,0.63694096,0.5887938,0.5480608,0.56652653,0.6254662,0.730181,0.8436405,0.84733564,0.77381146,0.6996991,0
0.48915535,0.48016924,0.48554242,0.5218203,0.5192069,0.53629875,0.5769636,0.5842108,0.55825526,0.5272413,0.49639496,0.4681379,1
0.6848039,0.73531085,0.7807463,0.83454245,0.72806394,0.6256967,0.5638165,0.57380885,0.58837926,0.56445616,0.5757199,0.6242854,0
0.61351943,0.6458157,0.6562084,0.67045265,0.69381726,0.6872686,0.69615227,0.7658682,0.74325967,0.71891034,0.72356915,0.65425104,0
0.5201597,0.6372359,0.67737293,0.6716953,0.59365284,0.5895687,0.60886645,0.5955153,0.7050799,0.618962,0.46254432,0.4049827,0
0.6941967,0.7347236,0.7837428,0.8413505,0.8467533,0.7104384,0.59143704,0.52955204,0.54632795,0.5882728,0.6343382,0.65494376,0
0.67732793,0.74788874,0.776333,0.7609765,0.7101325,0.71566975,0.71304315,0.6969696,0.6897982,0.70004714,0.661396,0.66360515,0
0.6596362,0.73646206,0.71789,0.6492207,0.63168967,0.73256195,0.7658205,0.76158756,0.7440072,0.6882941,0.63251686,0.60435325,0
0.27835986,0.2774675,0.26820365,0.26312625,0.27388325,0.29008248,0.29704058,0.28517082,0.28154215,0.29223204,0.30979747,0.29150268,0
0.41048184,0.45446375,0.40673918,0.3668464,0.36371776,0.37515432,0.3586784,0.39292228,0.4612947,0.49054384,0.4515701,0.4203427,1
0.6664818,0.6624183,0.7026579,0.747082,0.7394339,0.7528542,0.7866091,0.84025484,0.8010845,0.7336024,0.6533632,0.65243787,0
0.6867383,0.63719964,0.5956176,0.5817541,0.5975129,0.60973006,0.6348798,0.6162548,0.6035743,0.63672644,0.6669551,0.68394566,0
0.62650156,0.614611,0.64851546,0.7517973,0.76529264,0.73803794,0.64864594,0.5735748,0.5317573,0.5526461,0.6189031,0.6470365,0
0.50937235,0.5764984,0.7194551,0.67252034,0.71100205,0.6177112,0.57280463,0.58741707,0.61869675,0.63849163,0.57930297,0.5220078,1
0.43213642,0.48106632,0.48713562,0.4539032,0.44517773,0.4428252,0.49023247,0.5276612,0.55730546,0.8009866,0.5808063,0.41802767,0
0.69330007,0.6808169,0.7038516,0.6972608,0.7301214,0.72686607,0.7689637,0.76382786,0.7741799,0.8187516,0.8732354,0.7742551,0
0.38810903,0.39433482,0.41870862,0.4764165,0.5257424,0.5129409,0.46401578,0.38025463,0.3656693,0.4132738,0.40777484,0.41040275,0
0.1940058,0.19128413,0.21154326,0.23382442,0.18187848,0.15316007,0.145608,0.16176018,0.118395075,0.12485807,0.16546078,0.17151184,0
0.23778589,0.22440727,0.20669597,0.18712269,0.18854064,0.20356107,0.20919147,0.23350291,0.26407522,0.2696564,0.25441605,0.25404555,0
0.45744276,0.42543516,0.39428443,0.37266496,0.39090076,0.4400711,0.4621967,0.45087814,0.4604134,0.473697,0.44345382,0.45787752,0
0.66123825,0.6996022,0.76699954,0.8297616,0.83257097,0.72664577,0.7219553,0.71605444,0.69991386,0.7004687,0.7205398,0.6975333,1
0.27078864,0.34143084,0.37494045,0.39255127,0.42235222,0.30842748,0.26858097,0.27659997,0.31035125,0.3466368,0.30649212,0.24963006,0
0.59844226,0.59866107,0.6314135,0.66030586,0.64074975,0.6257835,0.6492503,0.64292574,0.6081401,0.5574597,0.5761842,0.6092553,0
0.62216437,0.59562504,0.62187,0.6606609,0.64743453,0.6675581,0.7261026,0.8487512,0.8468604,0.6992523,0.615597,0.61829305,1
0.8263713,0.8132162,0.8445418,0.8594766,0.8726802,0.7687044,0.7135127,0.7266203,0.7756459,0.82259256,0.80644083,0.8046462,1
0.6792322,0.5865431,0.58285075,0.60356927,0.60569113,0.61057067,0.6566879,0.7118564,0.76617175,0.78066766,0.7712578,0.76501757,0
0.34513184,0.33373457,0.31780142,0.33573034,0.37642536,0.42542753,0.40145433,0.4181045,0.50586575,0.48293957,0.48537353,0.40951014,1
0.687888,0.67414397,0.6028874,0.586036,0.7462994,0.73377025,0.6806534,0.5832838,0.5525778,0.58009434,0.6051415,0.6320336,0
0.6527657,0.72456056,0.7237845,0.6957598,0.69331914,0.60514164,0.5379574,0.54242396,0.5940211,0.6022034,0.557655,0.5466227,0
0.73904926,0.7336627,0.69208115,0.701942,0.7287949,0.709732,0.6595184,0.60780233,0.6461056,0.66358525,0.6567491,0.6977045,0
0.42919695,0.48296055,0.55127275,0.5718202,0.58082855,0.578096,0.5628928,0.55942094,0.5178706,0.48471168,0.47046944,0.4343437,0
0.69962966,0.72918993,0.6820305,0.6536196,0.6552722,0.69040006,0.7327714,0.76404464,0.70396,0.65700394,0.6503216,0.67062885,0
0.68570334,0.69331324,0.709418,0.7450967,0.69647443,0.68321484,0.67785424,0.6853333,0.7550819,0.8805221,0.8588226,0.70809454,0
0.6758563,0.6071251,0.5986709,0.5980623,0.62718034,0.6651753,0.6825476,0.7518088,0.79674834,0.8122681,0.7583174,0.7230823,0
0.40775687,0.39261982,0.4039133,0.49818006,0.5441699,0.47558028,0.50999194,0.5768074,0.57448024,0.5487215,0.4959152,0.4362433,1
0.660935,0.73406124,0.83512396,0.90497506,0.77432054,0.68140507,0.71273327,0.7235123,0.7560229,0.76215935,0.76387906,0.6800942,1
0.5225141,0.53036433,0.5755278,0.61826,0.69847304,0.7247519,0.6883888,0.66512775,0.617914,0.5733046,0.51793617,0.5226052,0
0.7719846,0.7370983,0.6731319,0.63506705,0.66661465,0.6884452,0.70970225,0.74554676,0.74857986,0.76004714,0.7897497,0.78774834,0
0.51965237,0.40672976,0.35334942,0.3860695,0.46276683,0.50583696,0.4489441,0.38767716,0.48513475,0.58469373,0.5941433,0.5827313,0
0.5992325,0.56954014,0.6294725,0.6535098,0.64561695,0.6374889,0.6666877,0.6306518,0.5863221,0.613669,0.6303049,0.6389236,0
0.6148204,0.5938719,0.61225367,0.62248766,0.70424914,0.73069745,0.65534323,0.64452404,0.65864176,0.6047915,0.6155116,0.65363353,0
0.7424124,0.727605,0.69617295,0.67429656,0.6901608,0.76055497,0.80218345,0.7677824,0.75437623,0.7488393,0.7553054,0.7556805,0
0.69819176,0.83546937,0.79281616,0.68638104,0.67976606,0.68328065,0.7302093,0.7345695,0.72435075,0.75798136,0.7624711,0.6802425,0
0.871575,0.8476093,0.84832954,0.878144,0.88218284,0.8080889,0.8063075,0.82371825,0.8014623,0.80057293,0.82152545,0.8642803,0
0.7372818,0.69572353,0.690545,0.69420147,0.7392397,0.73530304,0.71993744,0.6805091,0.6267846,0.6298051,0.6464895,0.6796395,0
0.6860587,0.73963636,0.7731532,0.8125869,0.8179077,0.7178347,0.70119166,0.7187835,0.77240956,0.778366,0.7370308,0.6658624,0
0.6714678,0.6616878,0.6691919,0.6722118,0.72436184,0.76407576,0.7505034,0.73922205,0.7779087,0.7629978,0.7614194,0.7261743,0
0.61747134,0.59986305,0.7092663,0.83345646,0.7527769,0.6478846,0.63734347,0.6788372,0.67338663,0.6336706,0.5856252,0.5964585,0
0.6711908,0.7558688,0.8886506,0.82266515,0.71002716,0.6572045,0.62317586,0.613699,0.58591276,0.5593579,0.5524,0.5983679,0
0.6518652,0.6740019,0.7061692,0.7820529,0.81962925,0.8114048,0.8055127,0.8330783,0.7785773,0.6559624,0.5956212,0.62464195,0
0.7758092,0.707038,0.6534241,0.6732821,0.6965764,0.7522261,0.7691267,0.77974576,0.7774329,0.7826209,0.74933624,0.7470088,0
