0,1,2,3,4,5,6,7,8,9,10,11,12,label
-469.7001,49.04654,-13.098398,5.3163824,12.60167,-12.358564,-7.28144,6.2896066,-2.2960322,-7.903307,-4.323527,-2.1717372,-2.1243927,0
-264.00436,20.026585,-13.823116,1.3039197,-3.3824368,-5.8613963,-2.5485692,-1.5920951,-4.633652,-2.8438692,0.40247798,-2.0528653,0.5314801,0
-528.2007,33.507336,-6.4455857,-5.512868,4.005277,-1.4717562,-4.403562,-2.394212,-2.3421097,-1.1082295,-0.23994711,-1.327892,-1.5023301,0
-411.65515,64.02915,-38.050503,14.265171,-29.784332,10.094859,-1.0460068,-2.9942422,-14.407915,-19.332296,4.0001674,-12.400102,-3.2279837,0
-398.2908,101.22426,-1.7095274,-9.631151,5.108328,-3.468448,-3.8418415,-5.2094097,-10.3192425,-3.5419176,-3.4475305,-9.790997,-2.341361,0
-552.18243,136.93214,-33.22674,-0.76124114,-2.9514232,9.343519,-9.694218,-1.7978613,8.127267,3.6455295,-9.817335,4.7914925,2.4654698,0
-230.12442,37.37933,1.7966092,15.280989,-12.846957,-5.301453,-13.043476,-11.368734,-9.130354,-7.577438,1.9962223,-6.658267,-2.8631966,0
-691.0249,61.655293,-9.557859,-6.640829,0.23277897,-15.112346,-10.534182,-4.245276,-12.314548,-9.796163,-4.3863134,-9.057761,-8.40201,0
-559.03296,42.007603,-4.684755,28.799465,-19.733784,13.9840355,-23.287725,-2.813974,-10.4465,-2.2145727,0.8919573,-10.042144,-4.595005,0
-337.36026,29.155619,-44.040047,8.909392,-0.9481937,21.68724,-0.12635843,-5.0101795,-24.411076,-4.50437,-15.315619,0.10057732,-17.568865,1
-469.15308,48.104336,-3.78397,8.633245,-6.0858765,6.8234344,-11.545921,-0.95164233,-15.555405,-6.1482773,-5.0561433,-9.796366,-0.46783966,0
-391.69205,58.730766,-9.035762,19.08811,7.2212873,16.977648,-10.192745,2.220023,-3.6066523,8.210721,1.001352,-7.9011655,3.3547616,0
-562.87665,88.76901,-22.480701,28.869593,-13.167865,-12.544507,5.0862646,-6.670437,-5.774053,4.1695547,-1.3941121,-2.9018562,2.4153566,1
